Title,Genre,Rating,Duration,Votes
185. Kvitebjørn,Family,5.9,1h 25m,-79
186. Ognivo,Family,5.5,1h 45m,-245
187. Captain Avispa,Family,5.7,1h 36m,-181
188. Chithini,Family,5.9,2h 31m,-553
189. Too Old for Fairy Tales 2,Family,4.9,1h 35m,-428
190. Gina,Family,7.2,1h 40m,-30
191. Khusma,Family,7.2,2h 25m,-68
192. Ne odna doma,Family,4.2,1h 19m,-96
193. The Land of Morning Calm,Family,6.4,1h 53m,-39
194. Powder Pup,Family,6,1h 29m,-82
195. Inventors,Family,N/A,N/A,N/A
196. Lucy and the Lake Monster,Family,8.1,N/A,-44
197. Carol,Family,7.6,1h 55m,-54
198. Yolki 11,Family,4.7,1h 32m,-182
199. Dear Family,Family,6.7,1h 56m,-69
200. Si Juki the Movie: Harta Pulau Monyet,Family,6.1,1h 47m,-134
201. Tartinijev kljuc,Family,7.8,1h 55m,-24
202. Hope,Family,5.3,N/A,-43
203. The Secret of Pin-Up Island,Family,7.3,1h 47m,-98
204. Letuchiy korabl,Family,3.5,1h 40m,-364
205. Peas and Carrots,Family,N/A,1h 36m,N/A
206. Bremenskie muzykanty,Family,4.5,1h 55m,-735
207. Dikkie Dik en de Verdwenen Knuffel,Family,7.2,1h 2m,-133
208. The Magic Penguin,Family,3.3,1h 29m,-33
209. Finding Christmas,Family,5.5,N/A,-17
210. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Family,7.1,1h 30m,-41
211. Haddhu Ledhu Raa,Family,7.1,1h 52m, (2K)
212. Uma & Haggen: Mitos,Family,7.4,1h 34m,-57
213. LasseMajas detektivbyrå - Maskoten som försvann,Family,5.9,1h 30m,-68
214. Ducobu passe au vert!,Family,4,1h 30m,-136
215. BeBe Winans' We Three Kings,Family,6.9,1h 30m,-134
216. Scooped,Family,4.7,1h 24m,-51
217. Home-less for the Holidays,Family,7.3,N/A,-14
218. Obraz,Family,7.2,1h 35m,-25
219. Luigi's Mansion,Family,5.9,1h,-20
220. De Bellinga's: Pretpark op stelten,Family,3,1h 10m,-133
221. Mees Kees op eigen benen,Family,5.8,1h 22m,-46
222. Wedding Diaries,Family,8.8,2h 1m, (2K)
223. Thookudurai,Family,4.2,2h 5m, (2.3K)
224. Nature Cat's Nature Movie Special Extraordinaire,Family,7.3,53m,-20
225. Last Defenders of Monogamy,Family,5.3,1h 24m,-405
226. Håkan Bråkan 2,Family,5.3,1h 32m,-144
227. My Dear Donga,Family,5.7,2h 12m,-164
